eval_loss,eval_acc,eval_auc,eval_precision,eval_recall,eval_f1,eval_confusion_matrix
0.6621291041374207,0.72,0.5141093474426808,0.0,0.0,0.0,"[[54, 0], [21, 0]]"
0.637539803981781,0.72,0.5740740740740741,0.0,0.0,0.0,"[[54, 0], [21, 0]]"
0.6656408905982971,0.72,0.5582010582010581,0.5,0.19047619047619047,0.27586206896551724,"[[50, 4], [17, 4]]"
0.9034030437469482,0.7746478873239436,0.5823529411764706,0.75,0.3,0.4285714285714285,"[[49, 2], [14, 6]]"
0.6805693507194519,0.7323943661971831,0.4931372549019608,1.0,0.05,0.09523809523809523,"[[51, 0], [19, 1]]"
